#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
1019.985009	17.690267
1020.015904	18.778494
1020.046801	21.297145
1020.077699	24.572814
1020.108599	21.681042
1020.139500	16.984662
1020.170402	14.234872
1020.201306	15.119237
1020.232211	18.885131
1020.263118	29.519252
1020.294026	38.917930
1020.324935	40.693595
1020.355846	38.069343
1020.386758	37.102822
1020.417672	38.662282
1020.448587	42.753304
1020.479503	45.079190
1020.510421	39.630747
1020.541340	31.998608
1020.572261	28.043276
1020.603183	28.247882
1020.634107	32.157364
1020.665031	39.953421
1020.695958	40.096569
1020.726885	37.110592
1020.757815	37.258502
1020.788745	38.869848
1020.819677	38.704335
1020.850610	38.631809
1020.881545	33.847489
1020.912481	27.695095
1020.943419	21.652299
1020.974358	15.178870
1021.005298	9.817084
1021.036240	9.807472
1021.067183	14.463668
1021.098127	21.903281
1021.129073	28.296331
1021.160021	30.554485
1021.190970	28.658911
1021.221920	25.951041
1021.252871	28.872721
1021.283824	29.525365
1021.314779	32.346964
1021.345735	31.717161
1021.376692	30.108545
1021.407651	24.906871
1021.438611	21.790144
1021.469572	20.548305
1021.500535	24.843790
1021.531499	28.620585
1021.562465	29.361832
1021.593432	24.206948
1021.624400	20.623663
1021.655370	21.513337
1021.686342	26.483316
1021.717314	26.807386
1021.748289	28.130177
1021.779264	29.014297
1021.810241	30.541734
1021.841219	27.213812
1021.872199	23.160274
1021.903180	19.339505
1021.934163	18.087877
1021.965147	18.848199
1021.996132	23.817810
1022.027119	26.661226
1022.058107	26.006943
1022.089097	21.684110
1022.120088	16.792497
1022.151080	16.231392
1022.182074	24.913156
1022.213070	31.751532
1022.244066	33.352805
1022.275064	30.696304
1022.306064	23.377341
1022.337065	18.039105
1022.368067	16.933401
1022.399071	21.523922
1022.430076	29.287769
1022.461082	35.483355
1022.492090	37.454981
1022.523100	35.254914
1022.554111	30.419950
1022.585123	26.949381
1022.616136	26.862237
1022.647151	24.642041
1022.678168	23.928896
1022.709186	25.731047
1022.740205	28.546035
1022.771226	24.519307
1022.802248	18.308953
1022.833271	15.819942
1022.864296	20.097354
1022.895322	28.987184
1022.926350	32.941934
